Cores, MFLOPS
1, 9993.01
2, 19981.65
3, 29972.76
4, 39967.78
5, 49951.88
6, 59939.17
7, 69937.05
8, 79926.47
9, 89904.88
10, 99854.98
11, 109841.58
12, 119841.13
13, 129851.69
14, 139833.46
15, 149821.27
16, 158550.45
