Cores, MFLOPS
1, 4996.93
2, 9992.71
3, 14987.30
4, 19983.40
5, 24977.21
6, 29968.13
7, 34971.26
8, 39961.09
9, 44954.84
10, 49940.27
11, 54930.64
12, 59924.16
13, 64932.37
14, 69918.18
15, 74913.26
16, 79259.67
