Cores, MFLOPS
1, 39971.89
2, 79939.25
3, 119886.43
4, 159871.60
5, 199825.00
6, 239753.54
7, 279762.73
8, 319696.89
9, 359597.30
10, 399543.65
11, 439454.18
12, 479346.58
13, 519468.41
14, 559383.93
15, 599295.94
16, 634082.03
