Cores, MFLOPS
1, 39967.78
2, 38884.44
3, 39037.43
4, 39094.27
5, 38793.65
6, 38713.61
7, 39208.43
8, 38916.62
9, 38823.18
10, 38643.10
11, 38586.26
12, 38555.90
13, 39067.85
14, 39188.99
15, 39071.92
16, 38855.96
17, 38934.87
18, 38762.63
19, 38794.61
20, 38555.40
21, 38729.77
22, 38525.75
23, 38452.38
24, 38462.60
25, 38341.04
26, 39035.49
27, 39135.03
28, 39146.17
29, 39052.80
30, 39040.40
31, 38891.89
32, 38823.33
