Cores, Mflops
1, 19989.69
2, 26705.23
3, 30306.71
4, 32366.50
5, 34182.86
6, 34852.68
7, 36519.78
8, 35889.77
9, 37290.63
10, 36765.95
11, 38070.29
12, 37369.60
13, 37148.17
14, 37605.53
15, 37815.21
16, 38088.26
17, 38103.00
18, 37808.12
19, 38450.25
20, 38474.82
21, 38208.61
22, 38359.64
23, 38483.78
24, 38694.13
25, 38288.88
26, 38527.17
27, 38277.52
28, 40007.51
29, 40832.90
30, 40898.48
31, 41390.11
32, 40248.52
