Cores, MFLOPS
1, 39969.30
2, 79937.00
3, 119889.57
4, 159863.42
5, 199813.14
6, 239743.21
7, 279740.26
8, 319674.53
9, 359607.91
10, 399534.29
11, 439457.57
12, 479348.83
13, 519459.19
14, 559373.24
15, 599295.59
16, 639222.15
17, 679115.24
18, 719023.41
19, 758916.80
20, 798783.10
21, 838656.02
22, 878512.47
23, 918386.03
24, 957807.20
25, 998142.13
26, 1038576.45
27, 1078510.08
28, 1118393.32
29, 1158247.24
30, 1198073.67
31, 1236571.37
32, 1276239.08
