Cores, MFLOPS
1, 19989.83
2, 19330.38
3, 18939.34
4, 19079.82
5, 18791.74
6, 18630.07
7, 19161.14
8, 25624.42
9, 38822.73
10, 38615.27
11, 38589.78
12, 38560.38
13, 39069.00
14, 39143.26
15, 39083.11
16, 38855.45
17, 38934.86
18, 38764.33
19, 38838.37
20, 38555.18
21, 38466.34
22, 38539.40
23, 38451.83
24, 38503.24
25, 38341.17
26, 39027.58
27, 39135.89
28, 38960.73
29, 39052.75
30, 39018.02
31, 38891.67
32, 38823.99
