Cores, Mflops
1, 9993.25
2, 19985.67
3, 29975.20
4, 39969.82
5, 49957.19
6, 59941.64
7, 69943.39
8, 79930.56
9, 89916.57
10, 99894.80
11, 109877.60
12, 119859.09
13, 129874.81
14, 139858.89
15, 149847.66
16, 159823.49
17, 169795.02
18, 179775.92
19, 189754.23
20, 199704.97
21, 209693.20
22, 219662.79
23, 229610.72
24, 239598.15
25, 249550.37
26, 259676.38
27, 269657.34
28, 279623.07
29, 289586.54
30, 299552.06
31, 309219.21
32, 316871.68
