Cores, MFLOPS
1, 9992.17
2, 9761.36
3, 9756.62
4, 9772.26
5, 9698.03
6, 9678.45
7, 9809.58
8, 9727.64
9, 9712.24
10, 9653.94
11, 9646.91
12, 9638.97
13, 9767.10
14, 9748.63
15, 9770.36
16, 9714.16
17, 9733.53
18, 9690.78
19, 9698.29
20, 9639.08
21, 9678.63
22, 9634.91
23, 9613.03
24, 9626.87
25, 9585.22
26, 9757.00
27, 9778.33
28, 9743.83
29, 9763.19
30, 9756.16
31, 9722.92
32, 9709.56
