Cores, MFLOPS
1, 9992.86
2, 9764.71
3, 9703.50
4, 9767.32
5, 9698.12
6, 9678.28
7, 9809.64
8, 9727.43
9, 9705.16
10, 9653.66
11, 9647.57
12, 9639.30
13, 9767.05
14, 9796.99
15, 9770.46
16, 9712.58
17, 9730.27
18, 9690.78
19, 9709.57
20, 9638.66
21, 9693.28
22, 9631.42
23, 9616.61
24, 9615.88
25, 9587.37
26, 9757.19
27, 9778.25
28, 9779.31
29, 9763.37
30, 9756.39
31, 9723.07
32, 9707.81
